"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"MUNICIPIO","2911253",4712,4561,2356,2205,1038,2396,1127,498,1153,554
2015,"MUNICIPIO","2911303",11423,10622,5448,5174,2883,5272,2467,1451,2506,1217
2015,"MUNICIPIO","2911402",16072,15076,7539,7537,3845,8343,2888,1889,4131,1517
2015,"MUNICIPIO","2911501",8082,8357,4235,4122,2222,4461,1674,1103,2175,844
2015,"MUNICIPIO","2911600",21267,19818,9497,10321,5140,10917,3761,2582,5597,2142
2015,"MUNICIPIO","2911659",8805,10412,5242,5170,2446,5410,2556,1189,2642,1339
2015,"MUNICIPIO","2911709",85797,78833,38481,40352,18182,45166,15485,8935,23218,8199
2015,"MUNICIPIO","2911808",22355,22165,11618,10547,6239,10987,4939,2992,5193,2362
2015,"MUNICIPIO","2911857",13762,13192,6666,6526,3548,6940,2704,1743,3427,1356
2015,"MUNICIPIO","2911907",26178,25736,12631,13105,7436,13004,5296,3711,6529,2865
2015,"MUNICIPIO","2912004",10502,10062,5097,4965,2138,5477,2447,1049,2681,1235
2015,"MUNICIPIO","2912103",24029,24272,11888,12384,6265,11984,6023,3098,6159,3127
2015,"MUNICIPIO","2912202",19548,17282,8754,8528,5304,9901,2077,2612,4862,1054
2015,"MUNICIPIO","2912301",16696,15785,8063,7722,4007,8248,3530,1935,3999,1788
2015,"MUNICIPIO","2912400",18674,17008,8758,8250,4453,9027,3528,2198,4299,1753
2015,"MUNICIPIO","2912509",15296,14171,7048,7123,3556,7495,3120,1715,3737,1671
2015,"MUNICIPIO","2912608",5158,4866,2529,2337,1408,2376,1082,674,1132,531
2015,"MUNICIPIO","2912707",24180,22598,11534,11064,7460,11030,4108,3650,5472,1942
2015,"MUNICIPIO","2912806",8735,7956,4098,3858,2070,4121,1765,999,2014,845
2015,"MUNICIPIO","2912905",17947,18943,9440,9503,4889,9784,4270,2342,4953,2208
2015,"MUNICIPIO","2913002",16699,15508,7695,7813,3771,7965,3772,1825,3961,2027
2015,"MUNICIPIO","2913101",18727,17840,9058,8782,4741,9335,3764,2309,4554,1919
2015,"MUNICIPIO","2913200",27655,25424,12802,12622,7019,13674,4731,3371,6764,2487
2015,"MUNICIPIO","2913309",6311,5255,2588,2667,1279,2806,1170,609,1440,618
2015,"MUNICIPIO","2913408",16225,15205,7643,7562,3583,8352,3270,1748,4130,1684
2015,"MUNICIPIO","2913457",14395,13343,7042,6301,4428,6950,1965,2141,3277,883
2015,"MUNICIPIO","2913507",27787,25705,13123,12582,6939,13076,5690,3442,6326,2814
2015,"MUNICIPIO","2913606",180213,184236,89440,94796,46427,101238,36571,23023,52412,19361
2015,"MUNICIPIO","2913705",40915,36306,18028,18278,10746,19083,6477,5361,9418,3499
2015,"MUNICIPIO","2913804",15521,15331,7586,7745,3949,8036,3346,1941,3983,1821
2015,"MUNICIPIO","2913903",47501,44390,21831,22559,11132,23850,9408,5441,12093,5025
2015,"MUNICIPIO","2914000",62095,59343,29076,30267,16018,30440,12885,7852,15410,7005
2015,"MUNICIPIO","2914109",10113,9285,4741,4544,2157,4712,2416,1080,2231,1233
2015,"MUNICIPIO","2914208",7472,7002,3506,3496,1973,3502,1527,1004,1689,803
2015,"MUNICIPIO","2914307",10487,11990,6167,5823,3360,6178,2452,1623,2963,1237
2015,"MUNICIPIO","2914406",25006,22601,11244,11357,6789,11555,4257,3373,5748,2236
2015,"MUNICIPIO","2914505",29950,27466,13297,14169,7254,14641,5571,3547,7451,3171
2015,"MUNICIPIO","2914604",73380,66181,32018,34163,17635,37902,10644,8810,19726,5627
2015,"MUNICIPIO","2914653",31055,28390,14481,13909,8860,14973,4557,4324,7343,2242
2015,"MUNICIPIO","2914703",66310,61631,29935,31696,16452,33410,11769,8122,17109,6465
2015,"MUNICIPIO","2914802",219680,204667,96936,107731,46639,115201,42827,23094,60922,23715
2015,"MUNICIPIO","2914901",27619,24318,12697,11621,7694,13138,3486,3733,6309,1579
2015,"MUNICIPIO","2915007",16446,14924,7513,7411,4536,7456,2932,2227,3632,1552
2015,"MUNICIPIO","2915106",13359,13051,6588,6463,3615,6440,2996,1766,3139,1558
